,city,lat,lng,max temp,humidity,cloudiness,wind speed,country id,date
0,Fairbanks,64.8378,-147.7164,4.96,56,75,11.5,US,1643404254
1,Atuona,-9.8,-139.0333,77.59,72,15,15.84,PF,1643404399
2,Jamestown,42.097,-79.2353,20.08,61,100,3.0,US,1643404322
3,Port Alfred,-33.5906,26.891,67.77,76,17,9.71,ZA,1643404332
4,Auki,-8.7676,160.7034,79.54,86,96,7.27,SB,1643404457
5,Thompson,55.7435,-97.8558,-3.5,87,100,4.56,CA,1643404457
6,Petropavlovsk-Kamchatskiy,53.0452,158.6483,23.59,86,75,11.18,RU,1643404457
7,Mataura,-46.1927,168.8643,60.48,58,95,2.35,NZ,1643404458
8,Rikitea,-23.1203,-134.9692,77.95,71,100,16.04,PF,1643404458
9,Ascension,30.2169,-90.9001,57.2,32,0,13.8,US,1643404458
10,Kaitangata,-46.2817,169.8464,62.92,64,87,1.83,NZ,1643404459
11,Isangel,-19.55,169.2667,79.09,86,91,14.94,VU,1643404250
12,Butaritari,3.0707,172.7902,81.86,79,76,17.85,KI,1643404459
13,Coquimbo,-29.9533,-71.3436,67.73,72,0,12.66,CL,1643404188
14,Gornopravdinsk,60.05,69.9,-6.68,100,100,3.53,RU,1643404459
15,Tasiilaq,65.6145,-37.6368,12.36,65,48,6.26,GL,1643404393
16,Mbekenyera,-10.0,38.9833,72.05,98,100,2.59,TZ,1643404460
17,Ugoofaaru,5.6667,73.0,81.32,66,3,16.58,MV,1643404460
18,Chui,-33.6971,-53.4616,70.56,59,62,8.81,UY,1643404461
19,Cabo San Lucas,22.8909,-109.9124,81.52,49,20,7.0,MX,1643404367
20,Coyhaique,-45.5752,-72.0662,83.01,18,0,9.22,CL,1643404461
21,Rochegda,62.8,43.25,16.59,95,100,7.05,RU,1643404461
22,Saldanha,-33.0117,17.9442,64.44,80,0,23.49,ZA,1643404462
23,Vaini,-21.2,-175.2,82.29,79,99,19.22,TO,1643404462
24,Margate,51.3813,1.3862,48.06,83,99,5.01,GB,1643404462
25,East London,-33.0153,27.9116,70.36,78,58,10.98,ZA,1643404171
26,Jiazi,22.8779,116.067,58.37,86,57,12.5,CN,1643404463
27,Ternate,0.8,127.4,79.3,84,62,6.24,ID,1643404463
28,Pevek,69.7008,170.3133,-17.61,100,32,2.04,RU,1643404406
29,Barrow,71.2906,-156.7887,-11.18,70,100,16.11,US,1643404404
30,Bredasdorp,-34.5322,20.0403,63.28,62,54,9.06,ZA,1643404463
31,Kundiawa,-6.0167,144.9667,63.12,99,100,0.22,PG,1643404464
32,Cabra,37.4725,-4.4421,51.24,59,25,4.5,ES,1643404464
33,Hobart,-42.8794,147.3294,63.27,81,75,14.97,AU,1643404345
